Student ID,Student Name,City/State,Age,Result,Marks
1,Vasanth,Erode,21,No Rank,37
2,Guru,Tiruppur,20,No Rank,28
3,Gokul,Tiruchirapalli,18,Average,40
4,Mani,Kumarapalayam,24,No Rank,31
5,Moorthy,Salem,18,Very Good,86
6,Amutha,Chennai,17,Average,61
7,Jaga,Madurai,24,Very Good,89
8,Pavithra,Erode,23,Average,68
9,Arthi,Tiruppur,17,Average,53
10,Kabilan,Tiruchirapalli,24,Average,67
11,Manasi,Kumarapalayam,17,Excellent,97
12,Suja,Salem,23,Very Good,85
13,Arun,Chennai,22,No Rank,32
14,Deepa,Madurai,20,Average,49
15,Sindhu,Erode,22,Average,65
16,Madhavi,Tiruppur,20,Good,78
17,Swetha,Tiruchirapalli,17,Good,73
18,Selvi,Kumarapalayam,22,Average,47
19,Pooja,Salem,19,Very Good,88
20,Lakshmi,Chennai,17,Excellent,99
21,Veeramani,Madurai,21,Average,67
22,Pandian,Erode,21,Good,72
23,Veera,Tiruppur,20,Average,51
24,Devi,Tiruchirapalli,20,Excellent,96
25,Devan,Kumarapalayam,21,Excellent,100
26,Keerthi,Salem,17,Very Good,89
27,Venkatesh,Chennai,24,Good,75
28,Raja,Madurai,24,Average,42
